"seqnames","start","end","width","strand","pval","pvalAdj","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_id","symbol","genename"
"chr1",4879601,4879800,200,"*",8.24411783698166e-58,1.39865723303275e-57,"1","21399",4857694,4897909,40216,"+",0,"inside",0,"21399","Tcea1","transcription elongation factor A (SII) 1"
"chr1",14839401,14839800,400,"*",4.14796997394172e-162,4.85905054090316e-161,"4","277328",14872648,14918862,46215,"-",32847,"downstream",32847,"277328","Trpa1","transient receptor potential cation channel, subfamily A, member 1"
"chr1",14865201,14865400,200,"*",9.23446978440301e-90,4.83336078077264e-89,"5","277328",14872648,14918862,46215,"-",7247,"downstream",7247,"277328","Trpa1","transient receptor potential cation channel, subfamily A, member 1"
"chr1",16102801,16103000,200,"*",1.2266111944511e-100,7.94069352197293e-100,"6","19989",16101295,16104433,3139,"-",0,"inside",0,"19989","Rpl7","ribosomal protein L7"
"chr1",16463001,16463200,200,"*",2.2639902467034e-71,7.14027693191074e-71,"7","29819",16228810,16519302,290493,"-",0,"inside",0,"29819","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",23846201,23846400,200,"*",1.21127832321563e-60,2.34625564969326e-60,"8","98366",23844825,23922381,77557,"-",0,"inside",0,"98366","Smap1","small ArfGAP 1"
"chr1",24611601,24611800,200,"*",2.2494121099083e-129,1.90812199668083e-128,"10","12823",24257683,24587437,329755,"-",24163,"upstream",24163,"12823","Col19a1","collagen, type XIX, alpha 1"
"chr1",24614601,24614800,200,"*",3.4521453209836e-135,3.26626057293064e-134,"11","12823",24257683,24587437,329755,"-",27163,"upstream",27163,"12823","Col19a1","collagen, type XIX, alpha 1"
"chr1",30943001,30943200,200,"*",0,0,"12","19243",30940303,30949755,9453,"-",0,"inside",0,"19243","Ptp4a1","protein tyrosine phosphatase 4a1"
"chr1",34198601,34198800,200,"*",1.63137339175054e-51,1.85657288770227e-51,"14","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34201001,34201400,400,"*",6.37680860888582e-54,8.52551585753213e-54,"16","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34225601,34226000,400,"*",6.03714213484832e-55,8.84010098317075e-55,"18","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34227801,34229200,1400,"*",1.4144397843363e-50,1.53282901738647e-50,"20","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34252801,34253000,200,"*",9.35889267466803e-52,1.0859847160228e-51,"22","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34294401,34294600,200,"*",5.65792448442035e-51,6.18599743629958e-51,"24","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34307401,34307800,400,"*",1.11848777619162e-51,1.29177461475652e-51,"26","13518",33908225,34308662,400438,"+",0,"inside",0,"13518","Dst","dystonin"
"chr1",34813201,34814200,1000,"*",2.35371086473526e-90,1.28669527272194e-89,"28","214469",34813218,34843050,29833,"-",0,"overlapEnd",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34814401,34814800,400,"*",1.48774003185481e-81,6.53542942564793e-81,"31","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34815001,34815200,200,"*",9.18552184729437e-147,1.02710835201564e-145,"33","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34815601,34815800,200,"*",1.05617661362113e-62,2.27911795570875e-62,"35","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34816001,34816200,200,"*",9.91820400216956e-84,4.6920734317956e-83,"37","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34816401,34817400,1000,"*",2.69863111743606e-80,1.14459181877461e-79,"39","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34818001,34818200,200,"*",1.88747992221523e-68,5.39907047517378e-68,"41","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",36692401,36692600,200,"*",1.9689474306833e-72,6.63508312257659e-72,"43","12859",36691487,36693388,1902,"+",0,"inside",0,"12859","Cox5b","cytochrome c oxidase subunit 5B"
"chr1",38797801,38798200,400,"*",6.20613180201972e-63,1.37541299396113e-62,"44","381338",38794509,38821215,26707,"-",0,"inside",0,"381338","Lonrf2","LON peptidase N-terminal domain and ring finger 2"
"chr1",38800601,38800800,200,"*",1.67892753037973e-52,2.06508086236707e-52,"46","381338",38794509,38821215,26707,"-",0,"inside",0,"381338","Lonrf2","LON peptidase N-terminal domain and ring finger 2"
"chr1",39973801,39974000,200,"*",9.58116802869992e-55,1.35457892819551e-54,"48","26921",39900913,40026310,125398,"+",0,"inside",0,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",39985201,39985400,200,"*",1.31638910503702e-61,2.67629520528188e-61,"49","26921",39900913,40026310,125398,"+",0,"inside",0,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",39986601,39986800,200,"*",7.70904932465417e-63,1.69323761952226e-62,"51","26921",39900913,40026310,125398,"+",0,"inside",0,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
