,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85
Tcea1,0,0.208741785,0,0.184378915,0,0,0,0,0,0,0,0,0,0,0,0,0.066966734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324427074,0.408541953,0,0.405439176,0.14595332,0,0.253080815,0,0,0,0,0,0,0.329675246,0,0,0,0,0.154571286,0.154571286,0,0,0,0,0.194459264,0,0,0,0,0,0,0,0.133435946,0,0,0.315403079,0.287360644,0,0,0,0,0,0.155730994,0,0,0.167164225,0,0,0,0,0.317932616,0,0.240915577
Trpa1,2.722336056,2.83620129,2.599838416,3.07103344,2.715904726,2.64313184,2.654100967,3.062209236,2.928714248,2.842100289,2.834731955,2.391619819,2.710469714,2.880290152,2.986286442,2.894049219,2.895277221,2.834835741,2.839618353,2.799891826,3.133847638,2.753183043,2.542842913,2.338356383,2.765329904,2.904070041,3.119176546,2.927154539,2.858275483,2.924281037,2.736854385,2.769259874,2.806434859,2.997949888,2.935110052,3.489820382,2.840790756,2.931989486,2.788221548,2.678231321,2.951000875,2.808929935,2.631495409,2.712685655,2.511766086,2.667832368,2.77289347,2.685532306,2.376007482,2.685482026,2.281189884,2.281189884,2.614461029,2.521097934,2.663278073,2.679213316,2.474747881,2.760626394,2.957723185,2.552112053,2.557897427,2.564967784,2.679020128,2.811629221,3.027367086,3.041620529,2.755974521,2.360718588,3.160771773,3.022376585,2.861238237,2.81521847,2.38056633,2.553318352,2.416262115,2.932100412,2.005189442,2.671712943,2.676685812,2.844466891,2.956320651,2.411812032,2.889358073,2.6660155,2.540103894
Trpa1,4.707817276,5.097660407,5.62531381,5.168883972,5.290239127,5.561285856,5.406436573,5.229703412,5.34575069,5.505918408,5.196834131,5.802306923,5.432326402,5.044821596,4.95465762,5.349615319,5.094884025,5.77231484,5.267822468,5.559333636,5.195871806,5.39678171,4.92363498,5.43341393,5.111214552,4.782791459,5.196699188,4.878532857,5.365240327,5.042018307,4.782677435,5.325785095,4.920743096,5.137652518,5.534890799,5.116929034,5.160492876,5.102894367,5.270488775,5.029733663,5.041211557,5.154548238,5.449786829,5.304200814,5.574913011,5.347677229,4.978163955,5.322184337,5.340379578,5.322130641,5.095986176,5.095986176,5.356831787,5.165030148,5.062515336,5.606355767,5.398599855,5.068773693,5.501430055,5.34275737,4.909534974,5.211697326,5.257257214,4.900876627,5.443338258,4.966362103,4.999197188,5.23598096,5.327665946,5.261672372,5.525584387,5.235640993,5.106755291,5.866959346,5.332562988,4.808031852,5.79601527,5.131668254,4.76941184,5.433034525,4.91059122,5.644787847,5.075679212,5.157124367,5.637206316
Rpl7,0.205808336,0.284499523,0,2.176469362,0.162018449,0.136630652,0.072003187,0.425114147,0.364273793,0.253684585,0.255535213,0.071815654,0.239956201,0.569343176,0.505525575,0.366330019,0.414111163,0.198758295,0.155453862,0.050847344,0.029408352,0.076135824,0.274648085,0.173598664,0.151592818,0.265997159,0.09488155,0.41354897,0.14062431,0.290706977,0.284988363,0.113866295,0.272713635,0.693308108,0.19110676,0.224073543,0.28495652,0.32465377,0.60508043,0.476606829,0.248326236,0.121270449,0.11400565,0.124683733,0.067955109,0.10812795,0.088331724,0.073864594,1.759362506,0.073860752,0.069918164,0.069918164,0,0.087594203,0.123544358,0,0.057553962,0.206137703,0.092238737,0.047484913,0.198695189,0.019487304,0.113865909,0.098533743,1.97535067,1.056717957,0.103581187,0.040309824,2.759107941,0.063583975,0.042125276,0.052736978,0.070159688,0,0.039223476,0.046621999,2.365236232,0.0799026,0.039118628,0.075114484,0.094910425,0.038056251,0.114924881,0.050393024,0.024663436
Stau2,5.679416741,5.837188366,6.914494817,5.801789069,5.389487786,5.77222977,6.398674486,5.483563676,5.968191652,5.966515321,5.194838035,6.688139442,6.739313711,5.74361314,5.178695215,5.844107991,5.788271926,7.348813699,6.207589924,6.562883594,6.131879911,6.063259393,4.948062318,5.967008728,4.883063219,4.553418025,5.604778213,5.210392797,6.518601179,5.465753797,5.213213322,6.239971939,5.75222859,5.88808338,6.995723161,6.016925661,5.847650435,5.465135108,6.287209946,6.255399197,5.766978096,5.277059437,6.105310841,5.72840573,6.528981117,6.113315688,5.752369698,6.801179271,5.567265117,6.801125371,5.481362398,5.481362398,6.468460855,6.154920056,4.381973826,5.877554952,5.312603649,4.738910041,5.894143802,5.667049896,4.084853266,5.72760303,4.64603286,4.962354462,6.487780983,5.734596619,4.644870414,5.522010409,5.745207257,5.814746053,6.481670579,6.478856973,5.163553389,6.789009432,6.150711946,4.862711386,7.286683623,5.54323491,4.69918355,5.990325016,4.402529479,6.235522812,5.390667802,6.079379564,7.352087241
Smap1,4.629580589,4.227081391,4.263776532,4.800014461,4.368426759,4.226161638,3.97861708,4.444221967,4.563667349,4.4269121,4.311666943,3.650964247,4.479838771,4.467759254,4.581264215,4.590333423,4.572484739,4.009584587,4.278454746,4.25266082,4.471288574,4.465597654,4.406483486,4.231441429,4.399429805,4.343323814,4.452330827,4.665386523,4.250315923,4.622613776,4.278343629,4.363103066,4.410167559,4.279325784,4.093496035,4.792101103,4.419115647,4.37288022,4.221817814,4.177303396,4.592410354,4.162892226,4.147978769,4.257314119,4.186355983,4.251821288,4.378033639,3.940920428,3.818584134,3.940867517,4.116252742,4.116252742,4.097752105,4.062736801,4.033786944,3.893675589,4.197322685,4.105703696,4.321236408,3.932187296,4.237289287,4.056072941,4.379720316,4.680791854,4.3919593,4.537210849,4.369263207,3.993614876,3.847221548,4.424969426,4.297200248,4.406460725,4.34999162,3.970687373,3.958206537,4.471823962,3.441009018,4.54678774,4.594425077,4.991221843,4.47480113,4.069220935,4.249922375,4.485509663,3.831668434
Col19a1,0,0,0,0.095613799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211687444,0.465413179,0.276663603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col19a1,3.018456633,2.608721262,2.979744871,3.175183307,2.927022027,2.653756976,2.673254963,3.304169342,3.620921602,3.274864721,2.709054834,2.175849612,2.945083327,3.128155433,2.719078533,3.205599687,3.191746335,2.41824501,3.233579575,3.400307202,3.680751959,3.27194906,2.560249734,2.855194755,2.927151131,3.323949377,3.761220574,3.043530038,3.152112285,3.596917055,2.775766448,3.691859738,3.231923068,2.802464096,2.446294922,3.218688591,3.562524935,3.226065744,2.898056121,2.584193644,3.376315919,2.91386318,2.916759371,2.895365539,3.130004076,3.266432298,2.572742699,2.245696874,2.320251456,2.245648626,2.249497125,2.249497125,2.865844419,2.552411888,2.605908007,2.540685013,2.901000502,2.43661377,2.150486397,1.543072566,2.132915828,2.947460845,3.200524666,2.986341551,2.88856654,2.902568702,2.419122861,1.824357168,0.821658937,3.144328074,2.668983917,3.253899863,2.131872068,2.543022291,2.297655507,2.794783208,1.482012535,3.275688797,2.561555806,3.532289473,2.822018143,2.248816971,2.793073493,2.781717364,2.171458481
Ptp4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099622404,0,0,0,0,0,0,0.069946777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dst,0.098090101,0.039592981,0,0,0.059113525,0.035844952,0.11435417,0,0.065850499,0,0.063329883,0,0,0.024433345,0.047852561,0.034638406,0.04842247,0,0.079655027,0,0,0.11792108,0.021511418,0,0,0.028022102,0.037025788,0.0328293,0,0,0,0.063005808,0,0.037353661,0,0,0.02683271,0.141410552,0,0.029830812,0.088504435,0.085864281,0,0.119695739,0.08582979,0.269646478,0,0,0.143734622,0,0.161914008,0.161914008,0,0,0,0.041248446,0.036983452,0.027873431,0,0,0.033233206,0.03678146,0.028401067,0.067602195,0,0.016129646,0,0.025888254,0.139103802,0.024619196,0,0.143953885,0.0228154,0.032450959,0.029019992,0.029913518,0,0.031149327,0.097250918,0.020530961,0.039992724,0,0,0,0
